number;name;father;mother;family;race;register
908/22;MANANTIALS SOÑADA T.E.;ANTONIONE FIV CABO VERDE;MANANTIALS SANTERA II T.E.;EMPEDRADO RANCHERA;GYR;HGY077432
92/91;MANANTIALS LOLA T.E.;GENGIS KHAN DE BRASILIA;G SAN DIEGO FANNY LOO T.E.;PALMA F MUTUM;GYR;HGY078543
93/1;;GENGIS KHAN DE BRASILIA;MANANTIALS CHISPA DIVINA T.E;;GYR;
93/91;MANANTIALS ATHENA T.E.;GENGIS KHAN DE BRASILIA;G SAN DIEGO FANNY LOO T.E.;PALMA F MUTUM;GYR;HGY078544
931/8;JG LA JUDEA FICA;FARDO MUTUM;LA GAFA SERENATA;REVISTA DE BRASILIA;GYR;HGY048011
95/2;;;;;GYR;
983/920;VIA LACTEA ADALIA;GIM FIV DO BASA;VIA LACTEA ADA T.E.;VIA LACTEA ADA T.E.;GYR;HGY060362
988/8;EL TESORO JADE;JOGRAL DE BRASILIA;EL TESORO FECULA;HAICAI DE BRASILIA;GYR;HGY044036
988/89;BOGA MISS FEDORA;JAGUAR TE DO GAVIAO;HAIGIRA MUTUM;GARBHA DOS POCOES;GYR;HGY068255
G074/4;SR TANGO DULCINEA;TANGO JMMA;SR JANDIARA;SR TANGO DULCINEA;GYR;HGY024311
